"UF";"COD. UF";"COD. MUNIC";"NOME DO MUNICÍPIO";"POPULAÇÃO ESTIMADA"
"PA";15;"06401";"Santa Cruz do Arari";10.496
"PA";15;"06500";"Santa Izabel do Pará";72.856
"PA";15;"06559";"Santa Luzia do Pará";19.839
"PA";15;"06583";"Santa Maria das Barreiras";22.244
"PA";15;"06609";"Santa Maria do Pará";25.127
"PA";15;"06708";"Santana do Araguaia";75.995
"PA";15;"06807";"Santarém";308.339
"PA";15;"06906";"Santarém Novo";6.796
"PA";15;"07003";"Santo Antônio do Tauá";32.346
"PA";15;"07102";"São Caetano de Odivelas";18.207
"PA";15;"07151";"São Domingos do Araguaia";25.945
"PA";15;"07201";"São Domingos do Capim";32.285
"PA";15;"07300";"São Félix do Xingu";135.732
"PA";15;"07409";"São Francisco do Pará";15.978
"PA";15;"07458";"São Geraldo do Araguaia";24.566
"PA";15;"07466";"São João da Ponta";6.294
"PA";15;"07474";"São João de Pirabas";23.440
"PA";15;"07508";"São João do Araguaia";14.105
"PA";15;"07607";"São Miguel do Guamá";60.268
"PA";15;"07706";"São Sebastião da Boa Vista";27.302
"PA";15;"07755";"Sapucaia";6.088
"PA";15;"07805";"Senador José Porfírio";11.305
"PA";15;"07904";"Soure";25.752
"PA";15;"07953";"Tailândia";111.554
"PA";15;"07961";"Terra Alta";11.971
"PA";15;"07979";"Terra Santa";19.063
"PA";15;"08001";"Tomé-Açu";64.604
"PA";15;"08035";"Tracuateua";31.549
"PA";15;"08050";"Trairão";19.344
"PA";15;"08084";"Tucumã";40.661
"PA";15;"08100";"Tucuruí";116.605
"PA";15;"08126";"Ulianópolis";62.286
"PA";15;"08159";"Uruará";45.395
"PA";15;"08209";"Vigia";54.650
"PA";15;"08308";"Viseu";62.093
"PA";15;"08357";"Vitória do Xingu";15.421
"PA";15;"08407";"Xinguara";45.416
"AP";16;"00055";"Serra do Navio";5.577
"AP";16;"00105";"Amapá";9.265
"AP";16;"00154";"Pedra Branca do Amapari";17.625
"AP";16;"00204";"Calçoene";11.493
"AP";16;"00212";"Cutias";6.217
"AP";16;"00238";"Ferreira Gomes";8.151
"AP";16;"00253";"Itaubal";5.730
"AP";16;"00279";"Laranjal do Jari";52.302
"AP";16;"00303";"Macapá";522.357
"AP";16;"00402";"Mazagão";22.468
"AP";16;"00501";"Oiapoque";28.534
"AP";16;"00535";"Porto Grande";22.927
"AP";16;"00550";"Pracuúba";5.370
"AP";16;"00600";"Santana";124.808
"AP";16;"00709";"Tartarugalzinho";18.217
"AP";16;"00808";"Vitória do Jari";16.572
"TO";17;"00251";"Abreulândia";2.609
"TO";17;"00301";"Aguiarnópolis";7.049
"TO";17;"00350";"Aliança do Tocantins";5.303
"TO";17;"00400";"Almas";6.905
"TO";17;"00707";"Alvorada";8.381
"TO";17;"01002";"Ananás";9.435
"TO";17;"01051";"Angico";3.475
"TO";17;"01101";"Aparecida do Rio Negro";4.901
"TO";17;"01309";"Aragominas";5.705
"TO";17;"01903";"Araguacema";7.223
"TO";17;"02000";"Araguaçu";8.418
"TO";17;"02109";"Araguaína";186.245
"TO";17;"02158";"Araguanã";5.856
"TO";17;"02208";"Araguatins";36.573
"TO";17;"02307";"Arapoema";6.590
"TO";17;"02406";"Arraias";10.502
"TO";17;"02554";"Augustinópolis";18.870
"TO";17;"02703";"Aurora do Tocantins";3.809
"TO";17;"02901";"Axixá do Tocantins";9.817
"TO";17;"03008";"Babaçulândia";10.668
"TO";17;"03057";"Bandeirantes do Tocantins";3.631
"TO";17;"03073";"Barra do Ouro";4.673
"TO";17;"03107";"Barrolândia";5.669
"TO";17;"03206";"Bernardo Sayão";4.439
"TO";17;"03305";"Bom Jesus do Tocantins";5.120
"TO";17;"03602";"Brasilândia do Tocantins";2.221
"TO";17;"03701";"Brejinho de Nazaré";5.540
"TO";17;"03800";"Buriti do Tocantins";11.644
"TO";17;"03826";"Cachoeirinha";2.293
"TO";17;"03842";"Campos Lindos";10.505
"TO";17;"03867";"Cariri do Tocantins";4.499
"TO";17;"03883";"Carmolândia";2.627
"TO";17;"03891";"Carrasco Bonito";4.165
"TO";17;"03909";"Caseara";5.514
"TO";17;"04105";"Centenário";2.966
"TO";17;"04600";"Chapada de Areia";1.415
"TO";17;"05102";"Chapada da Natividade";3.330
"TO";17;"05508";"Colinas do Tocantins";36.271
"TO";17;"05557";"Combinado";4.870
"TO";17;"05607";"Conceição do Tocantins";4.070
"TO";17;"06001";"Couto Magalhães";5.690
"TO";17;"06100";"Cristalândia";7.268
"TO";17;"06258";"Crixás do Tocantins";1.749
"TO";17;"06506";"Darcinópolis";6.250
"TO";17;"07009";"Dianópolis";22.704
"TO";17;"07108";"Divinópolis do Tocantins";6.986
"TO";17;"07207";"Dois Irmãos do Tocantins";7.173
"TO";17;"07306";"Dueré";4.686
"TO";17;"07405";"Esperantina";11.280
"TO";17;"07553";"Fátima";3.824
"TO";17;"07652";"Figueirópolis";5.222
"TO";17;"07702";"Filadélfia";8.892
"TO";17;"08205";"Formoso do Araguaia";18.358
"TO";17;"08254";"Tabocão";2.615
"TO";17;"08304";"Goianorte";5.136
"TO";17;"09005";"Goiatins";13.169
"TO";17;"09302";"Guaraí";26.403
"TO";17;"09500";"Gurupi";88.428
"TO";17;"09807";"Ipueiras";2.088
"TO";17;"10508";"Itacajá";7.471
"TO";17;"10706";"Itaguatins";5.801
"TO";17;"10904";"Itapiratins";3.814
"TO";17;"11100";"Itaporã do Tocantins";2.412
"TO";17;"11506";"Jaú do Tocantins";3.906
"TO";17;"11803";"Juarina";2.174
"TO";17;"11902";"Lagoa da Confusão";13.989
"TO";17;"11951";"Lagoa do Tocantins";4.470
"TO";17;"12009";"Lajeado";3.199
"TO";17;"12157";"Lavandeira";1.984
"TO";17;"12405";"Lizarda";3.727
"TO";17;"12454";"Luzinópolis";3.200
"TO";17;"12504";"Marianópolis do Tocantins";5.332
"TO";17;"12702";"Mateiros";2.773
"TO";17;"12801";"Maurilândia do Tocantins";3.470
"TO";17;"13205";"Miracema do Tocantins";17.628
"TO";17;"13304";"Miranorte";13.551
"TO";17;"13601";"Monte do Carmo";8.182
"TO";17;"13700";"Monte Santo do Tocantins";2.311
"TO";17;"13809";"Palmeiras do Tocantins";6.830
"TO";17;"13957";"Muricilândia";3.623
"TO";17;"14203";"Natividade";9.256
"TO";17;"14302";"Nazaré";3.772
"TO";17;"14880";"Nova Olinda";12.014
"TO";17;"15002";"Nova Rosalândia";4.348
"TO";17;"15101";"Novo Acordo";4.450
"TO";17;"15150";"Novo Alegre";2.332
"TO";17;"15259";"Novo Jardim";2.768
"TO";17;"15507";"Oliveira de Fátima";1.124
"TO";17;"15705";"Palmeirante";6.234
"TO";17;"15754";"Palmeirópolis";7.694
"TO";17;"16109";"Paraíso do Tocantins";52.521
"TO";17;"16208";"Paranã";10.426
"TO";17;"16307";"Pau D'Arco";4.885
"TO";17;"16505";"Pedro Afonso";13.964
"TO";17;"16604";"Peixe";11.996
"TO";17;"16653";"Pequizeiro";5.546
"TO";17;"16703";"Colméia";8.078
"TO";17;"17008";"Pindorama do Tocantins";4.414
"TO";17;"17206";"Piraquê";3.038
"TO";17;"17503";"Pium";7.830
"TO";17;"17800";"Ponte Alta do Bom Jesus";4.586
"TO";17;"17909";"Ponte Alta do Tocantins";8.192
"TO";17;"18006";"Porto Alegre do Tocantins";3.200
"TO";17;"18204";"Porto Nacional";53.618
"TO";17;"18303";"Praia Norte";8.563
"TO";17;"18402";"Presidente Kennedy";3.668
"TO";17;"18451";"Pugmil";2.746
"TO";17;"18501";"Recursolândia";4.389
"TO";17;"18550";"Riachinho";4.723
"TO";17;"18659";"Rio da Conceição";2.211
"TO";17;"18709";"Rio dos Bois";2.879
"TO";17;"18758";"Rio Sono";6.498
"TO";17;"18808";"Sampaio";4.876
"TO";17;"18840";"Sandolândia";3.371
"TO";17;"18865";"Santa Fé do Araguaia";7.678
"TO";17;"18881";"Santa Maria do Tocantins";3.537
"TO";17;"18899";"Santa Rita do Tocantins";2.407
"TO";17;"18907";"Santa Rosa do Tocantins";4.864
"TO";17;"19004";"Santa Tereza do Tocantins";2.928
"TO";17;"20002";"Santa Terezinha do Tocantins";2.530
"TO";17;"20101";"São Bento do Tocantins";5.457
"TO";17;"20150";"São Félix do Tocantins";1.610
"TO";17;"20200";"São Miguel do Tocantins";12.445
"TO";17;"20259";"São Salvador do Tocantins";3.106
"TO";17;"20309";"São Sebastião do Tocantins";4.898
"TO";17;"20499";"São Valério";3.848
"TO";17;"20655";"Silvanópolis";5.452
"TO";17;"20804";"Sítio Novo do Tocantins";8.965
"TO";17;"20853";"Sucupira";2.007
"TO";17;"20903";"Taguatinga";16.966
"TO";17;"20937";"Taipas do Tocantins";2.183
"TO";17;"20978";"Talismã";2.831
"TO";17;"21000";"Palmas";313.349
"TO";17;"21109";"Tocantínia";7.688
"TO";17;"21208";"Tocantinópolis";22.820
"TO";17;"21257";"Tupirama";1.952
"TO";17;"21307";"Tupiratins";2.785
"TO";17;"22081";"Wanderlândia";11.783
"TO";17;"22107";"Xambioá";11.500
"MA";21;"00055";"Açailândia";113.783
"MA";21;"00105";"Afonso Cunha";6.631
"MA";21;"00154";"Água Doce do Maranhão";12.731
"MA";21;"00204";"Alcântara";22.126
"MA";21;"00303";"Aldeias Altas";26.979
"MA";21;"00402";"Altamira do Maranhão";8.250
"MA";21;"00436";"Alto Alegre do Maranhão";28.066
"MA";21;"00477";"Alto Alegre do Pindaré";31.967
"MA";21;"00501";"Alto Parnaíba";11.233
"MA";21;"00550";"Amapá do Maranhão";7.047
"MA";21;"00600";"Amarante do Maranhão";42.017
"MA";21;"00709";"Anajatuba";27.170
"MA";21;"00808";"Anapurus";16.054
"MA";21;"00832";"Apicum-Açu";17.582
"MA";21;"00873";"Araguanã";15.675
"MA";21;"00907";"Araioses";47.095
"MA";21;"00956";"Arame";32.825
"MA";21;"01004";"Arari";30.014
"MA";21;"01103";"Axixá";12.234
"MA";21;"01202";"Bacabal";105.094
"MA";21;"01251";"Bacabeira";17.446
"MA";21;"01301";"Bacuri";18.726
"MA";21;"01350";"Bacurituba";5.696
"MA";21;"01400";"Balsas";96.951
"MA";21;"01509";"Barão de Grajaú";19.026
"MA";21;"01608";"Barra do Corda";88.895
"MA";21;"01707";"Barreirinhas";63.891
"MA";21;"01731";"Belágua";7.586
"MA";21;"01772";"Bela Vista do Maranhão";11.347
"MA";21;"01806";"Benedito Leite";5.643
"MA";21;"01905";"Bequimão";21.317
"MA";21;"01939";"Bernardo do Mearim";6.102
"MA";21;"01970";"Boa Vista do Gurupi";8.494
"MA";21;"02002";"Bom Jardim";42.010
"MA";21;"02036";"Bom Jesus das Selvas";35.095
"MA";21;"02077";"Bom Lugar";16.578
"MA";21;"02101";"Brejo";36.900
"MA";21;"02150";"Brejo de Areia";8.841
"MA";21;"02200";"Buriti";28.916
"MA";21;"02309";"Buriti Bravo";23.993
"MA";21;"02325";"Buriticupu";73.595
"MA";21;"02358";"Buritirana";15.503
"MA";21;"02374";"Cachoeira Grande";9.524
"MA";21;"02408";"Cajapió";11.255
"MA";21;"02507";"Cajari";19.521
"MA";21;"02556";"Campestre do Maranhão";14.530
"MA";21;"02606";"Cândido Mendes";20.376
"MA";21;"02705";"Cantanhede";22.236
"MA";21;"02754";"Capinzal do Norte";10.937
"MA";21;"02804";"Carolina";24.151
"MA";21;"02903";"Carutapera";24.095
"MA";21;"03000";"Caxias";166.159
"MA";21;"03109";"Cedral";10.711
"MA";21;"03125";"Central do Maranhão";8.806
"MA";21;"03158";"Centro do Guilherme";13.876
"MA";21;"03174";"Centro Novo do Maranhão";22.056
"MA";21;"03208";"Chapadinha";80.705
"MA";21;"03257";"Cidelândia";14.855
"MA";21;"03307";"Codó";123.368
"MA";21;"03406";"Coelho Neto";49.804
"MA";21;"03505";"Colinas";41.443
"MA";21;"03554";"Conceição do Lago-Açu";16.559
"MA";21;"03604";"Coroatá";65.788
"MA";21;"03703";"Cururupu";32.559
"MA";21;"03752";"Davinópolis";12.923
"MA";21;"03802";"Dom Pedro";23.393
"MA";21;"03901";"Duque Bacelar";11.451
"MA";21;"04008";"Esperantinópolis";16.971
"MA";21;"04057";"Estreito";43.097
"MA";21;"04073";"Feira Nova do Maranhão";8.506
"MA";21;"04081";"Fernando Falcão";10.559
"MA";21;"04099";"Formosa da Serra Negra";19.425
"MA";21;"04107";"Fortaleza dos Nogueiras";12.662
"MA";21;"04206";"Fortuna";17.812
"MA";21;"04305";"Godofredo Viana";12.104
"MA";21;"04404";"Gonçalves Dias";17.953
"MA";21;"04503";"Governador Archer";10.931
"MA";21;"04552";"Governador Edison Lobão";18.740
"MA";21;"04602";"Governador Eugênio Barros";14.703
"MA";21;"04628";"Governador Luiz Rocha";7.878
"MA";21;"04651";"Governador Newton Bello";10.121
"MA";21;"04677";"Governador Nunes Freire";25.502
"MA";21;"04701";"Graça Aranha";6.261
"MA";21;"04800";"Grajaú";70.692
"MA";21;"04909";"Guimarães";11.966
"MA";21;"05005";"Humberto de Campos";29.143
"MA";21;"05104";"Icatu";27.423
"MA";21;"05153";"Igarapé do Meio";14.470
"MA";21;"05203";"Igarapé Grande";11.453
"MA";21;"05302";"Imperatriz";259.980
"MA";21;"05351";"Itaipava do Grajaú";16.158
"MA";21;"05401";"Itapecuru Mirim";69.233
"MA";21;"05427";"Itinga do Maranhão";26.134
"MA";21;"05450";"Jatobá";10.464
"MA";21;"05476";"Jenipapo dos Vieiras";17.123
"MA";21;"05500";"João Lisboa";23.677
"MA";21;"05609";"Joselândia";16.228
"MA";21;"05658";"Junco do Maranhão";4.334
"MA";21;"05708";"Lago da Pedra";50.959
"MA";21;"05807";"Lago do Junco";10.900
"MA";21;"05906";"Lago Verde";16.369
"MA";21;"05922";"Lagoa do Mato";11.280
"MA";21;"05948";"Lago dos Rodrigues";8.841
"MA";21;"05963";"Lagoa Grande do Maranhão";11.534
"MA";21;"05989";"Lajeado Novo";7.653
"MA";21;"06003";"Lima Campos";11.943
"MA";21;"06102";"Loreto";12.271
"MA";21;"06201";"Luís Domingues";7.016
"MA";21;"06300";"Magalhães de Almeida";20.228
"MA";21;"06326";"Maracaçumé";21.773
"MA";21;"06359";"Marajá do Sena";7.757
"MA";21;"06375";"Maranhãozinho";16.754
"MA";21;"06409";"Mata Roma";17.122
"MA";21;"06508";"Matinha";23.591
"MA";21;"06607";"Matões";34.099
"MA";21;"06631";"Matões do Norte";17.316
"MA";21;"06672";"Milagres do Maranhão";8.502
"MA";21;"06706";"Mirador";21.045
"MA";21;"06755";"Miranda do Norte";29.121
"MA";21;"06805";"Mirinzal";15.059
"MA";21;"06904";"Monção";33.888
"MA";21;"07001";"Montes Altos";9.064
"MA";21;"07100";"Morros";19.708
"MA";21;"07209";"Nina Rodrigues";14.826
"MA";21;"07258";"Nova Colinas";5.469
"MA";21;"07308";"Nova Iorque";4.682
"MA";21;"07357";"Nova Olinda do Maranhão";21.228
"MA";21;"07407";"Olho d'Água das Cunhãs";19.616
"MA";21;"07456";"Olinda Nova do Maranhão";14.968
"MA";21;"07506";"Paço do Lumiar";"125.265"
"MA";21;"07605";"Palmeirândia";19.840
"MA";21;"07704";"Paraibano";21.571
"MA";21;"07803";"Parnarama";35.108
"MA";21;"07902";"Passagem Franca";19.253
"MA";21;"08009";"Pastos Bons";19.693
"MA";21;"08058";"Paulino Neves";16.295
"MA";21;"08108";"Paulo Ramos";21.092
"MA";21;"08207";"Pedreiras";39.153
"MA";21;"08256";"Pedro do Rosário";25.560
"MA";21;"08306";"Penalva";38.987
"MA";21;"08405";"Peri Mirim";14.371
"MA";21;"08454";"Peritoró";23.530
"MA";21;"08504";"Pindaré-Mirim";33.186
"MA";21;"08603";"Pinheiro";84.160
"MA";21;"08702";"Pio XII";21.274
"MA";21;"08801";"Pirapemas";18.814
"MA";21;"08900";"Poção de Pedras";17.321
"MA";21;"09007";"Porto Franco";24.294
